ID_Cromo,Seleccion,Confederacion,Nombre_Jugador,Posicion
CAN_18,Canadá,CONCACAF,Jugador 17,Jugador
CAN_19,Canadá,CONCACAF,Jugador 18,Jugador
CAN_20,Canadá,CONCACAF,Foto de Equipo,Especial
PAN_01,Panamá,CONCACAF,Escudo Selección,Especial
PAN_02,Panamá,CONCACAF,Jugador 1,Jugador
PAN_03,Panamá,CONCACAF,Jugador 2,Jugador
PAN_04,Panamá,CONCACAF,Jugador 3,Jugador
PAN_05,Panamá,CONCACAF,Jugador 4,Jugador
PAN_06,Panamá,CONCACAF,Jugador 5,Jugador
PAN_07,Panamá,CONCACAF,Jugador 6,Jugador
PAN_08,Panamá,CONCACAF,Jugador 7,Jugador
PAN_09,Panamá,CONCACAF,Jugador 8,Jugador
PAN_10,Panamá,CONCACAF,Jugador 9,Jugador
PAN_11,Panamá,CONCACAF,Jugador 10,Jugador
PAN_12,Panamá,CONCACAF,Jugador 11,Jugador
PAN_13,Panamá,CONCACAF,Jugador 12,Jugador
PAN_14,Panamá,CONCACAF,Jugador 13,Jugador
PAN_15,Panamá,CONCACAF,Jugador 14,Jugador
PAN_16,Panamá,CONCACAF,Jugador 15,Jugador
PAN_17,Panamá,CONCACAF,Jugador 16,Jugador
PAN_18,Panamá,CONCACAF,Jugador 17,Jugador
PAN_19,Panamá,CONCACAF,Jugador 18,Jugador
PAN_20,Panamá,CONCACAF,Foto de Equipo,Especial
CRC_01,Costa Rica,CONCACAF,Escudo Selección,Especial
CRC_02,Costa Rica,CONCACAF,Jugador 1,Jugador
CRC_03,Costa Rica,CONCACAF,Jugador 2,Jugador
CRC_04,Costa Rica,CONCACAF,Jugador 3,Jugador
CRC_05,Costa Rica,CONCACAF,Jugador 4,Jugador
CRC_06,Costa Rica,CONCACAF,Jugador 5,Jugador
CRC_07,Costa Rica,CONCACAF,Jugador 6,Jugador
CRC_08,Costa Rica,CONCACAF,Jugador 7,Jugador
CRC_09,Costa Rica,CONCACAF,Jugador 8,Jugador
CRC_10,Costa Rica,CONCACAF,Jugador 9,Jugador
CRC_11,Costa Rica,CONCACAF,Jugador 10,Jugador
CRC_12,Costa Rica,CONCACAF,Jugador 11,Jugador
CRC_13,Costa Rica,CONCACAF,Jugador 12,Jugador
CRC_14,Costa Rica,CONCACAF,Jugador 13,Jugador
CRC_15,Costa Rica,CONCACAF,Jugador 14,Jugador
CRC_16,Costa Rica,CONCACAF,Jugador 15,Jugador
CRC_17,Costa Rica,CONCACAF,Jugador 16,Jugador
CRC_18,Costa Rica,CONCACAF,Jugador 17,Jugador
CRC_19,Costa Rica,CONCACAF,Jugador 18,Jugador
CRC_20,Costa Rica,CONCACAF,Foto de Equipo,Especial
JAM_01,Jamaica,CONCACAF,Escudo Selección,Especial
JAM_02,Jamaica,CONCACAF,Jugador 1,Jugador
JAM_03,Jamaica,CONCACAF,Jugador 2,Jugador
JAM_04,Jamaica,CONCACAF,Jugador 3,Jugador
JAM_05,Jamaica,CONCACAF,Jugador 4,Jugador
JAM_06,Jamaica,CONCACAF,Jugador 5,Jugador
JAM_07,Jamaica,CONCACAF,Jugador 6,Jugador
JAM_08,Jamaica,CONCACAF,Jugador 7,Jugador
JAM_09,Jamaica,CONCACAF,Jugador 8,Jugador
JAM_10,Jamaica,CONCACAF,Jugador 9,Jugador
JAM_11,Jamaica,CONCACAF,Jugador 10,Jugador
JAM_12,Jamaica,CONCACAF,Jugador 11,Jugador
JAM_13,Jamaica,CONCACAF,Jugador 12,Jugador
JAM_14,Jamaica,CONCACAF,Jugador 13,Jugador
JAM_15,Jamaica,CONCACAF,Jugador 14,Jugador
JAM_16,Jamaica,CONCACAF,Jugador 15,Jugador
JAM_17,Jamaica,CONCACAF,Jugador 16,Jugador
JAM_18,Jamaica,CONCACAF,Jugador 17,Jugador
JAM_19,Jamaica,CONCACAF,Jugador 18,Jugador
JAM_20,Jamaica,CONCACAF,Foto de Equipo,Especial
ARG_01,Argentina,CONMEBOL,Escudo Selección,Especial
ARG_02,Argentina,CONMEBOL,Jugador 1,Jugador
ARG_03,Argentina,CONMEBOL,Jugador 2,Jugador
ARG_04,Argentina,CONMEBOL,Jugador 3,Jugador
ARG_05,Argentina,CONMEBOL,Jugador 4,Jugador
ARG_06,Argentina,CONMEBOL,Jugador 5,Jugador
ARG_07,Argentina,CONMEBOL,Jugador 6,Jugador
ARG_08,Argentina,CONMEBOL,Jugador 7,Jugador
ARG_09,Argentina,CONMEBOL,Jugador 8,Jugador
ARG_10,Argentina,CONMEBOL,Jugador 9,Jugador
ARG_11,Argentina,CONMEBOL,Jugador 10,Jugador
ARG_12,Argentina,CONMEBOL,Jugador 11,Jugador
ARG_13,Argentina,CONMEBOL,Jugador 12,Jugador
ARG_14,Argentina,CONMEBOL,Jugador 13,Jugador
ARG_15,Argentina,CONMEBOL,Jugador 14,Jugador
ARG_16,Argentina,CONMEBOL,Jugador 15,Jugador
ARG_17,Argentina,CONMEBOL,Jugador 16,Jugador
ARG_18,Argentina,CONMEBOL,Jugador 17,Jugador
ARG_19,Argentina,CONMEBOL,Jugador 18,Jugador
ARG_20,Argentina,CONMEBOL,Foto de Equipo,Especial
BRA_01,Brasil,CONMEBOL,Escudo Selección,Especial
BRA_02,Brasil,CONMEBOL,Jugador 1,Jugador
BRA_03,Brasil,CONMEBOL,Jugador 2,Jugador
BRA_04,Brasil,CONMEBOL,Jugador 3,Jugador
BRA_05,Brasil,CONMEBOL,Jugador 4,Jugador
BRA_06,Brasil,CONMEBOL,Jugador 5,Jugador
BRA_07,Brasil,CONMEBOL,Jugador 6,Jugador
BRA_08,Brasil,CONMEBOL,Jugador 7,Jugador
BRA_09,Brasil,CONMEBOL,Jugador 8,Jugador
BRA_10,Brasil,CONMEBOL,Jugador 9,Jugador
BRA_11,Brasil,CONMEBOL,Jugador 10,Jugador
BRA_12,Brasil,CONMEBOL,Jugador 11,Jugador
BRA_13,Brasil,CONMEBOL,Jugador 12,Jugador
BRA_14,Brasil,CONMEBOL,Jugador 13,Jugador
BRA_15,Brasil,CONMEBOL,Jugador 14,Jugador
BRA_16,Brasil,CONMEBOL,Jugador 15,Jugador
BRA_17,Brasil,CONMEBOL,Jugador 16,Jugador
BRA_18,Brasil,CONMEBOL,Jugador 17,Jugador
BRA_19,Brasil,CONMEBOL,Jugador 18,Jugador
BRA_20,Brasil,CONMEBOL,Foto de Equipo,Especial
URU_01,Uruguay,CONMEBOL,Escudo Selección,Especial
URU_02,Uruguay,CONMEBOL,Jugador 1,Jugador
URU_03,Uruguay,CONMEBOL,Jugador 2,Jugador
URU_04,Uruguay,CONMEBOL,Jugador 3,Jugador
URU_05,Uruguay,CONMEBOL,Jugador 4,Jugador
URU_06,Uruguay,CONMEBOL,Jugador 5,Jugador
URU_07,Uruguay,CONMEBOL,Jugador 6,Jugador
URU_08,Uruguay,CONMEBOL,Jugador 7,Jugador
URU_09,Uruguay,CONMEBOL,Jugador 8,Jugador
URU_10,Uruguay,CONMEBOL,Jugador 9,Jugador
URU_11,Uruguay,CONMEBOL,Jugador 10,Jugador
URU_12,Uruguay,CONMEBOL,Jugador 11,Jugador
URU_13,Uruguay,CONMEBOL,Jugador 12,Jugador
URU_14,Uruguay,CONMEBOL,Jugador 13,Jugador
URU_15,Uruguay,CONMEBOL,Jugador 14,Jugador
URU_16,Uruguay,CONMEBOL,Jugador 15,Jugador
URU_17,Uruguay,CONMEBOL,Jugador 16,Jugador
URU_18,Uruguay,CONMEBOL,Jugador 17,Jugador
URU_19,Uruguay,CONMEBOL,Jugador 18,Jugador
URU_20,Uruguay,CONMEBOL,Foto de Equipo,Especial
COL_01,Colombia,CONMEBOL,Escudo Selección,Especial
COL_02,Colombia,CONMEBOL,Jugador 1,Jugador
COL_03,Colombia,CONMEBOL,Jugador 2,Jugador
COL_04,Colombia,CONMEBOL,Jugador 3,Jugador
COL_05,Colombia,CONMEBOL,Jugador 4,Jugador
COL_06,Colombia,CONMEBOL,Jugador 5,Jugador
COL_07,Colombia,CONMEBOL,Jugador 6,Jugador
COL_08,Colombia,CONMEBOL,Jugador 7,Jugador
COL_09,Colombia,CONMEBOL,Jugador 8,Jugador
COL_10,Colombia,CONMEBOL,Jugador 9,Jugador
COL_11,Colombia,CONMEBOL,Jugador 10,Jugador
COL_12,Colombia,CONMEBOL,Jugador 11,Jugador
COL_13,Colombia,CONMEBOL,Jugador 12,Jugador
COL_14,Colombia,CONMEBOL,Jugador 13,Jugador
COL_15,Colombia,CONMEBOL,Jugador 14,Jugador
COL_16,Colombia,CONMEBOL,Jugador 15,Jugador
COL_17,Colombia,CONMEBOL,Jugador 16,Jugador
COL_18,Colombia,CONMEBOL,Jugador 17,Jugador
COL_19,Colombia,CONMEBOL,Jugador 18,Jugador
COL_20,Colombia,CONMEBOL,Foto de Equipo,Especial
ECU_01,Ecuador,CONMEBOL,Escudo Selección,Especial
ECU_02,Ecuador,CONMEBOL,Jugador 1,Jugador
ECU_03,Ecuador,CONMEBOL,Jugador 2,Jugador
ECU_04,Ecuador,CONMEBOL,Jugador 3,Jugador
ECU_05,Ecuador,CONMEBOL,Jugador 4,Jugador
ECU_06,Ecuador,CONMEBOL,Jugador 5,Jugador
ECU_07,Ecuador,CONMEBOL,Jugador 6,Jugador
ECU_08,Ecuador,CONMEBOL,Jugador 7,Jugador
ECU_09,Ecuador,CONMEBOL,Jugador 8,Jugador
ECU_10,Ecuador,CONMEBOL,Jugador 9,Jugador
ECU_11,Ecuador,CONMEBOL,Jugador 10,Jugador
ECU_12,Ecuador,CONMEBOL,Jugador 11,Jugador
ECU_13,Ecuador,CONMEBOL,Jugador 12,Jugador
ECU_14,Ecuador,CONMEBOL,Jugador 13,Jugador
ECU_15,Ecuador,CONMEBOL,Jugador 14,Jugador
ECU_16,Ecuador,CONMEBOL,Jugador 15,Jugador
ECU_17,Ecuador,CONMEBOL,Jugador 16,Jugador
ECU_18,Ecuador,CONMEBOL,Jugador 17,Jugador
ECU_19,Ecuador,CONMEBOL,Jugador 18,Jugador
ECU_20,Ecuador,CONMEBOL,Foto de Equipo,Especial
PAR_01,Paraguay,CONMEBOL,Escudo Selección,Especial
PAR_02,Paraguay,CONMEBOL,Jugador 1,Jugador
PAR_03,Paraguay,CONMEBOL,Jugador 2,Jugador
PAR_04,Paraguay,CONMEBOL,Jugador 3,Jugador
PAR_05,Paraguay,CONMEBOL,Jugador 4,Jugador
PAR_06,Paraguay,CONMEBOL,Jugador 5,Jugador
PAR_07,Paraguay,CONMEBOL,Jugador 6,Jugador
PAR_08,Paraguay,CONMEBOL,Jugador 7,Jugador
PAR_09,Paraguay,CONMEBOL,Jugador 8,Jugador
PAR_10,Paraguay,CONMEBOL,Jugador 9,Jugador
PAR_11,Paraguay,CONMEBOL,Jugador 10,Jugador
PAR_12,Paraguay,CONMEBOL,Jugador 11,Jugador
PAR_13,Paraguay,CONMEBOL,Jugador 12,Jugador
PAR_14,Paraguay,CONMEBOL,Jugador 13,Jugador
PAR_15,Paraguay,CONMEBOL,Jugador 14,Jugador
PAR_16,Paraguay,CONMEBOL,Jugador 15,Jugador
PAR_17,Paraguay,CONMEBOL,Jugador 16,Jugador
PAR_18,Paraguay,CONMEBOL,Jugador 17,Jugador
PAR_19,Paraguay,CONMEBOL,Jugador 18,Jugador
PAR_20,Paraguay,CONMEBOL,Foto de Equipo,Especial
CHI_01,Chile,CONMEBOL,Escudo Selección,Especial
CHI_02,Chile,CONMEBOL,Jugador 1,Jugador
CHI_03,Chile,CONMEBOL,Jugador 2,Jugador
CHI_04,Chile,CONMEBOL,Jugador 3,Jugador
CHI_05,Chile,CONMEBOL,Jugador 4,Jugador
CHI_06,Chile,CONMEBOL,Jugador 5,Jugador
CHI_07,Chile,CONMEBOL,Jugador 6,Jugador
CHI_08,Chile,CONMEBOL,Jugador 7,Jugador
CHI_09,Chile,CONMEBOL,Jugador 8,Jugador
CHI_10,Chile,CONMEBOL,Jugador 9,Jugador
CHI_11,Chile,CONMEBOL,Jugador 10,Jugador
CHI_12,Chile,CONMEBOL,Jugador 11,Jugador
CHI_13,Chile,CONMEBOL,Jugador 12,Jugador
CHI_14,Chile,CONMEBOL,Jugador 13,Jugador
CHI_15,Chile,CONMEBOL,Jugador 14,Jugador
CHI_16,Chile,CONMEBOL,Jugador 15,Jugador
CHI_17,Chile,CONMEBOL,Jugador 16,Jugador
CHI_18,Chile,CONMEBOL,Jugador 17,Jugador
CHI_19,Chile,CONMEBOL,Jugador 18,Jugador
CHI_20,Chile,CONMEBOL,Foto de Equipo,Especial
ESP_01,España,UEFA,Escudo Selección,Especial
ESP_02,España,UEFA,Jugador 1,Jugador
ESP_03,España,UEFA,Jugador 2,Jugador
ESP_04,España,UEFA,Jugador 3,Jugador
ESP_05,España,UEFA,Jugador 4,Jugador
ESP_06,España,UEFA,Jugador 5,Jugador
ESP_07,España,UEFA,Jugador 6,Jugador
ESP_08,España,UEFA,Jugador 7,Jugador
ESP_09,España,UEFA,Jugador 8,Jugador
ESP_10,España,UEFA,Jugador 9,Jugador
ESP_11,España,UEFA,Jugador 10,Jugador
ESP_12,España,UEFA,Jugador 11,Jugador
ESP_13,España,UEFA,Jugador 12,Jugador
ESP_14,España,UEFA,Jugador 13,Jugador
ESP_15,España,UEFA,Jugador 14,Jugador
ESP_16,España,UEFA,Jugador 15,Jugador
ESP_17,España,UEFA,Jugador 16,Jugador
ESP_18,España,UEFA,Jugador 17,Jugador
ESP_19,España,UEFA,Jugador 18,Jugador
ESP_20,España,UEFA,Foto de Equipo,Especial
FRA_01,Francia,UEFA,Escudo Selección,Especial
FRA_02,Francia,UEFA,Jugador 1,Jugador
FRA_03,Francia,UEFA,Jugador 2,Jugador
FRA_04,Francia,UEFA,Jugador 3,Jugador
FRA_05,Francia,UEFA,Jugador 4,Jugador
FRA_06,Francia,UEFA,Jugador 5,Jugador
FRA_07,Francia,UEFA,Jugador 6,Jugador
FRA_08,Francia,UEFA,Jugador 7,Jugador
FRA_09,Francia,UEFA,Jugador 8,Jugador
FRA_10,Francia,UEFA,Jugador 9,Jugador
FRA_11,Francia,UEFA,Jugador 10,Jugador
FRA_12,Francia,UEFA,Jugador 11,Jugador
FRA_13,Francia,UEFA,Jugador 12,Jugador
FRA_14,Francia,UEFA,Jugador 13,Jugador
FRA_15,Francia,UEFA,Jugador 14,Jugador
FRA_16,Francia,UEFA,Jugador 15,Jugador
FRA_17,Francia,UEFA,Jugador 16,Jugador
FRA_18,Francia,UEFA,Jugador 17,Jugador
FRA_19,Francia,UEFA,Jugador 18,Jugador
FRA_20,Francia,UEFA,Foto de Equipo,Especial
ENG_01,Inglaterra,UEFA,Escudo Selección,Especial
ENG_02,Inglaterra,UEFA,Jugador 1,Jugador
ENG_03,Inglaterra,UEFA,Jugador 2,Jugador
ENG_04,Inglaterra,UEFA,Jugador 3,Jugador
ENG_05,Inglaterra,UEFA,Jugador 4,Jugador
ENG_06,Inglaterra,UEFA,Jugador 5,Jugador
ENG_07,Inglaterra,UEFA,Jugador 6,Jugador
ENG_08,Inglaterra,UEFA,Jugador 7,Jugador
ENG_09,Inglaterra,UEFA,Jugador 8,Jugador
ENG_10,Inglaterra,UEFA,Jugador 9,Jugador
ENG_11,Inglaterra,UEFA,Jugador 10,Jugador
ENG_12,Inglaterra,UEFA,Jugador 11,Jugador
ENG_13,Inglaterra,UEFA,Jugador 12,Jugador
ENG_14,Inglaterra,UEFA,Jugador 13,Jugador
ENG_15,Inglaterra,UEFA,Jugador 14,Jugador
ENG_16,Inglaterra,UEFA,Jugador 15,Jugador
ENG_17,Inglaterra,UEFA,Jugador 16,Jugador
ENG_18,Inglaterra,UEFA,Jugador 17,Jugador
ENG_19,Inglaterra,UEFA,Jugador 18,Jugador
ENG_20,Inglaterra,UEFA,Foto de Equipo,Especial
GER_01,Alemania,UEFA,Escudo Selección,Especial
GER_02,Alemania,UEFA,Jugador 1,Jugador
GER_03,Alemania,UEFA,Jugador 2,Jugador
GER_04,Alemania,UEFA,Jugador 3,Jugador
GER_05,Alemania,UEFA,Jugador 4,Jugador
GER_06,Alemania,UEFA,Jugador 5,Jugador
GER_07,Alemania,UEFA,Jugador 6,Jugador
GER_08,Alemania,UEFA,Jugador 7,Jugador
GER_09,Alemania,UEFA,Jugador 8,Jugador
GER_10,Alemania,UEFA,Jugador 9,Jugador
GER_11,Alemania,UEFA,Jugador 10,Jugador
GER_12,Alemania,UEFA,Jugador 11,Jugador
GER_13,Alemania,UEFA,Jugador 12,Jugador
GER_14,Alemania,UEFA,Jugador 13,Jugador
GER_15,Alemania,UEFA,Jugador 14,Jugador
GER_16,Alemania,UEFA,Jugador 15,Jugador
GER_17,Alemania,UEFA,Jugador 16,Jugador
GER_18,Alemania,UEFA,Jugador 17,Jugador
GER_19,Alemania,UEFA,Jugador 18,Jugador
GER_20,Alemania,UEFA,Foto de Equipo,Especial
ITA_01,Italia,UEFA,Escudo Selección,Especial
ITA_02,Italia,UEFA,Jugador 1,Jugador
ITA_03,Italia,UEFA,Jugador 2,Jugador
ITA_04,Italia,UEFA,Jugador 3,Jugador
ITA_05,Italia,UEFA,Jugador 4,Jugador
ITA_06,Italia,UEFA,Jugador 5,Jugador
ITA_07,Italia,UEFA,Jugador 6,Jugador
ITA_08,Italia,UEFA,Jugador 7,Jugador
ITA_09,Italia,UEFA,Jugador 8,Jugador
ITA_10,Italia,UEFA,Jugador 9,Jugador
ITA_11,Italia,UEFA,Jugador 10,Jugador
ITA_12,Italia,UEFA,Jugador 11,Jugador
ITA_13,Italia,UEFA,Jugador 12,Jugador
ITA_14,Italia,UEFA,Jugador 13,Jugador
ITA_15,Italia,UEFA,Jugador 14,Jugador
ITA_16,Italia,UEFA,Jugador 15,Jugador
ITA_17,Italia,UEFA,Jugador 16,Jugador
ITA_18,Italia,UEFA,Jugador 17,Jugador
ITA_19,Italia,UEFA,Jugador 18,Jugador
ITA_20,Italia,UEFA,Foto de Equipo,Especial
POR_01,Portugal,UEFA,Escudo Selección,Especial
POR_02,Portugal,UEFA,Jugador 1,Jugador
POR_03,Portugal,UEFA,Jugador 2,Jugador
POR_04,Portugal,UEFA,Jugador 3,Jugador
POR_05,Portugal,UEFA,Jugador 4,Jugador
POR_06,Portugal,UEFA,Jugador 5,Jugador
POR_07,Portugal,UEFA,Jugador 6,Jugador
POR_08,Portugal,UEFA,Jugador 7,Jugador
POR_09,Portugal,UEFA,Jugador 8,Jugador
POR_10,Portugal,UEFA,Jugador 9,Jugador
POR_11,Portugal,UEFA,Jugador 10,Jugador
POR_12,Portugal,UEFA,Jugador 11,Jugador
POR_13,Portugal,UEFA,Jugador 12,Jugador
POR_14,Portugal,UEFA,Jugador 13,Jugador
POR_15,Portugal,UEFA,Jugador 14,Jugador
POR_16,Portugal,UEFA,Jugador 15,Jugador
POR_17,Portugal,UEFA,Jugador 16,Jugador
POR_18,Portugal,UEFA,Jugador 17,Jugador
POR_19,Portugal,UEFA,Jugador 18,Jugador
POR_20,Portugal,UEFA,Foto de Equipo,Especial
NED_01,Países Bajos,UEFA,Escudo Selección,Especial
NED_02,Países Bajos,UEFA,Jugador 1,Jugador
NED_03,Países Bajos,UEFA,Jugador 2,Jugador
NED_04,Países Bajos,UEFA,Jugador 3,Jugador
NED_05,Países Bajos,UEFA,Jugador 4,Jugador
NED_06,Países Bajos,UEFA,Jugador 5,Jugador
NED_07,Países Bajos,UEFA,Jugador 6,Jugador
NED_08,Países Bajos,UEFA,Jugador 7,Jugador
NED_09,Países Bajos,UEFA,Jugador 8,Jugador
NED_10,Países Bajos,UEFA,Jugador 9,Jugador
NED_11,Países Bajos,UEFA,Jugador 10,Jugador
NED_12,Países Bajos,UEFA,Jugador 11,Jugador
NED_13,Países Bajos,UEFA,Jugador 12,Jugador
NED_14,Países Bajos,UEFA,Jugador 13,Jugador
NED_15,Países Bajos,UEFA,Jugador 14,Jugador
NED_16,Países Bajos,UEFA,Jugador 15,Jugador
NED_17,Países Bajos,UEFA,Jugador 16,Jugador
NED_18,Países Bajos,UEFA,Jugador 17,Jugador
NED_19,Países Bajos,UEFA,Jugador 18,Jugador
NED_20,Países Bajos,UEFA,Foto de Equipo,Especial
BEL_01,Bélgica,UEFA,Escudo Selección,Especial
BEL_02,Bélgica,UEFA,Jugador 1,Jugador
BEL_03,Bélgica,UEFA,Jugador 2,Jugador
BEL_04,Bélgica,UEFA,Jugador 3,Jugador
BEL_05,Bélgica,UEFA,Jugador 4,Jugador
BEL_06,Bélgica,UEFA,Jugador 5,Jugador
BEL_07,Bélgica,UEFA,Jugador 6,Jugador
BEL_08,Bélgica,UEFA,Jugador 7,Jugador
BEL_09,Bélgica,UEFA,Jugador 8,Jugador
BEL_10,Bélgica,UEFA,Jugador 9,Jugador
BEL_11,Bélgica,UEFA,Jugador 10,Jugador
BEL_12,Bélgica,UEFA,Jugador 11,Jugador
BEL_13,Bélgica,UEFA,Jugador 12,Jugador
BEL_14,Bélgica,UEFA,Jugador 13,Jugador
BEL_15,Bélgica,UEFA,Jugador 14,Jugador
BEL_16,Bélgica,UEFA,Jugador 15,Jugador
BEL_17,Bélgica,UEFA,Jugador 16,Jugador
BEL_18,Bélgica,UEFA,Jugador 17,Jugador
BEL_19,Bélgica,UEFA,Jugador 18,Jugador
BEL_20,Bélgica,UEFA,Foto de Equipo,Especial
CRO_01,Croacia,UEFA,Escudo Selección,Especial
CRO_02,Croacia,UEFA,Jugador 1,Jugador
CRO_03,Croacia,UEFA,Jugador 2,Jugador
CRO_04,Croacia,UEFA,Jugador 3,Jugador
CRO_05,Croacia,UEFA,Jugador 4,Jugador
CRO_06,Croacia,UEFA,Jugador 5,Jugador
CRO_07,Croacia,UEFA,Jugador 6,Jugador
CRO_08,Croacia,UEFA,Jugador 7,Jugador
CRO_09,Croacia,UEFA,Jugador 8,Jugador
CRO_10,Croacia,UEFA,Jugador 9,Jugador
CRO_11,Croacia,UEFA,Jugador 10,Jugador
CRO_12,Croacia,UEFA,Jugador 11,Jugador
CRO_13,Croacia,UEFA,Jugador 12,Jugador
CRO_14,Croacia,UEFA,Jugador 13,Jugador
CRO_15,Croacia,UEFA,Jugador 14,Jugador
CRO_16,Croacia,UEFA,Jugador 15,Jugador
CRO_17,Croacia,UEFA,Jugador 16,Jugador
CRO_18,Croacia,UEFA,Jugador 17,Jugador
CRO_19,Croacia,UEFA,Jugador 18,Jugador
CRO_20,Croacia,UEFA,Foto de Equipo,Especial
SUI_01,Suiza,UEFA,Escudo Selección,Especial
SUI_02,Suiza,UEFA,Jugador 1,Jugador
SUI_03,Suiza,UEFA,Jugador 2,Jugador
SUI_04,Suiza,UEFA,Jugador 3,Jugador
SUI_05,Suiza,UEFA,Jugador 4,Jugador
SUI_06,Suiza,UEFA,Jugador 5,Jugador
SUI_07,Suiza,UEFA,Jugador 6,Jugador
SUI_08,Suiza,UEFA,Jugador 7,Jugador
